newsId,isFake,words,uppercases,questions,exclamations,authors,citations,firstperson,secondperson,thirdperson,sentencelength,repetitiveness,authorHits,sentiment
171,1,215,0.354,1,0,0,1,0.04651,0.00000,0.10698,23.89,0.716,0,-0.57143
172,1,183,0.031,1,0,1,1,0.02732,0.00000,0.03279,22.88,0.617,167000,-0.87500
173,1,151,0.022,0,0,1,1,0.04636,0.06623,0.04636,12.58,0.709,219000,-0.66667
174,1,38,0.009,0,0,1,1,0.00000,0.00000,0.00000,38.00,0.895,219000,-1.00000
175,1,344,0.036,2,0,0,1,0.03198,0.01163,0.05814,17.20,0.622,0,-0.55000
176,1,323,0.034,1,0,0,1,0.00619,0.00619,0.01858,17.94,0.700,0,-0.88235
177,1,513,0.027,0,1,0,1,0.04483,0.00390,0.03509,16.55,0.606,0,-0.74074
178,1,195,0.013,0,0,0,1,0.06154,0.00000,0.04103,24.38,0.672,0,-0.62500
179,1,281,0.020,0,3,1,1,0.00356,0.03203,0.00712,18.73,0.673,70,-0.53333
180,1,197,0.033,0,0,0,1,0.00508,0.00000,0.02538,10.37,0.660,0,-0.61538
181,1,220,0.019,0,0,0,1,0.01818,0.00000,0.05455,27.50,0.636,0,-1.00000
182,1,420,0.035,0,2,0,1,0.03333,0.02381,0.05714,14.48,0.593,0,-0.44828
183,1,567,0.025,4,0,1,1,0.03351,0.00000,0.04762,18.90,0.492,19700,-0.53333
184,0,406,0.036,0,0,1,1,0.02463,0.00493,0.04187,19.33,0.616,8830,-0.71429
185,1,354,0.038,0,0,1,1,0.02825,0.00000,0.02825,19.67,0.605,19700,-0.42857
186,0,1639,0.033,0,1,2,1,0.00915,0.00244,0.03051,15.04,0.448,2835,-0.54098
187,1,276,0.049,0,0,1,1,0.01087,0.00000,0.02899,25.09,0.562,19700,-0.90909
188,0,497,0.025,0,0,1,5,0.00201,0.00000,0.01408,26.16,0.539,18700,-0.94118
189,1,695,0.047,2,0,1,1,0.00000,0.00000,0.02302,19.86,0.545,19700,-0.89286
190,1,344,0.020,0,0,1,1,0.00000,0.00000,0.00581,21.50,0.640,19700,-0.80000
191,1,337,0.042,1,0,1,1,0.02967,0.00000,0.02077,19.82,0.629,19700,-0.85714
192,1,461,0.020,0,0,1,1,0.01302,0.00000,0.01518,27.12,0.575,19700,-0.82353
193,1,528,0.027,0,0,1,1,0.00568,0.00000,0.00379,22.96,0.591,19700,-0.90909
194,1,712,0.060,0,0,1,1,0.00281,0.00000,0.04073,21.58,0.525,19700,-1.03125
195,1,567,0.020,0,1,1,1,0.03880,0.01058,0.01411,17.18,0.556,19700,-0.74194
196,0,996,0.025,0,0,2,1,0.00602,0.00000,0.02711,23.16,0.527,8550,-0.72093
197,0,1077,0.037,0,0,2,1,0.00557,0.00557,0.04271,15.84,0.496,3805,-0.47170
198,0,218,0.041,0,0,0,4,0.06881,0.00000,0.04128,21.80,0.716,0,-0.80000
199,0,716,0.023,0,0,1,1,0.01676,0.00279,0.02793,26.52,0.493,13700,-0.74074
200,0,1243,0.036,1,0,2,1,0.00644,0.00322,0.02494,20.72,0.521,2605,-0.69048
